shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S1-Abbeville,49.4258108177978,2.093939132745273,0,
S1-Abbeville,49.42569891508687,2.098704528998256,1,
S1-Abbeville,49.42559785535691,2.101339327263223,2,
S1-Abbeville,49.42540735024637,2.104059962538849,3,
S1-Abbeville,49.42519299383692,2.106034025510077,4,
S1-Abbeville,49.42494630707564,2.10724146148674,5,
S1-Abbeville,49.42456987711164,2.109104671037665,6,
S1-Abbeville,49.4228354126871,2.116134177722246,7,
S1-Abbeville,49.42118340402761,2.123091084255078,8,
S1-Abbeville,49.42054168283395,2.125856593434756,9,
S1-Abbeville,49.42048538375636,2.126520288098903,10,
S1-Abbeville,49.42051029962131,2.127324382051925,11,
S1-Abbeville,49.42063080763725,2.127797785297989,12,
S1-Abbeville,49.42088392683615,2.128443447301631,13,
S1-Abbeville,49.42118677327115,2.129043691954553,14,
S1-Abbeville,49.42165531094665,2.129401318884703,15,
S1-Abbeville,49.42210150027854,2.129584910369218,16,
S1-Abbeville,49.42274458335184,2.129535093605883,17,
S1-Abbeville,49.42348580877876,2.129108188137268,18,
S1-Abbeville,49.42416312677751,2.128644966883912,19,
S1-Abbeville,49.42487218902136,2.128475178653018,20,
S1-Abbeville,49.42569044570811,2.127911346184843,21,
S1-Abbeville,49.42601334535129,2.128024551299106,22,
S1-Abbeville,49.42777126438099,2.129085489321201,23,
S1-Abbeville,49.43006832940878,2.131676370332973,24,
S1-Abbeville,49.43089645552296,2.134268037776086,25,
S1-Abbeville,49.4315435845218,2.135356750796882,26,
S1-Abbeville,49.43343643154091,2.13735871435681,27,
S1-Abbeville,49.4356032307647,2.141409798283564,28,
S1-Abbeville,49.43775929249214,2.146691898212993,29,
S1-Abbeville,49.44041224213005,2.149379479685705,30,
S1-Abbeville,49.44310352699208,2.152126989954621,31,
S1-Abbeville,49.4451218111794,2.15355438535406,32,
S1-Abbeville,49.44755675265185,2.154696153467754,33,
S1-Abbeville,49.45082732231234,2.155872598254223,34,
S1-Abbeville,49.45658231129855,2.1573982822784,35,
S1-Abbeville,49.46094154985906,2.161226103181586,36,
S1-Abbeville,49.46478742455249,2.165887242428262,37,
S1-Abbeville,49.47331970057167,2.174661057589882,38,
S1-Abbeville,49.47737753705845,2.179061062218568,39,
S1-Abbeville,49.47838275267241,2.180134843707073,40,
S1-Abbeville,49.47919320161328,2.180909124891162,41,
S1-Abbeville,49.47947252910484,2.182543035944038,42,
S1-Abbeville,49.47977992484105,2.184865428980258,43,
S1-Abbeville,49.48003051200834,2.187276995866942,44,
S1-Abbeville,49.48466533561327,2.196213616752785,45,
S1-Abbeville,49.48984336665862,2.202092934988842,46,
S1-Abbeville,49.49593550782925,2.204651375378606,47,
S1-Abbeville,49.49691870344397,2.205304633617948,48,
S1-Abbeville,49.49798677852475,2.206533760497085,49,
S1-Abbeville,49.4986386796521,2.208990700350153,50,
S1-Abbeville,49.49919906762569,2.21208752687541,51,
S1-Abbeville,49.5071535406372,2.223924507253248,52,
S1-Abbeville,49.51570519709956,2.228560203218102,53,
S1-Abbeville,49.51799628524223,2.229184652982079,54,
S1-Abbeville,49.52296714166339,2.226598591063691,55,
S1-Abbeville,49.53327158469195,2.225031202965739,56,
S1-Abbeville,49.54005447596116,2.22579344455011,57,
S1-Abbeville,49.55512295175922,2.226079076109435,58,
S1-Abbeville,49.56336568747463,2.226806729980733,59,
S1-Abbeville,49.56552564706056,2.227603945622094,60,
S1-Abbeville,49.57764400192069,2.232581061745393,61,
S1-Abbeville,49.58050105741761,2.233765224901105,62,
S1-Abbeville,49.58406642385954,2.23966113604585,63,
